index_column,target_processed,predicted
6873,['xxtsart muito ruim! xxend'],não funciona xxend
5675,['xxtsart não é full hd xxend'],produto de boa qualidade xxend
161,['xxtsart maravilhosa! xxend'],gostei muito do produto xxend
4297,['xxtsart produto de péssima qualidade.. não funciona a tecla menu desliga o parelho. xxend'],não gostei xxend
995,['xxtsart otimo xxend'],Ótimo produto xxend
11534,['xxtsart insatisfeito xxend'],não recebi o produto xxend
7629,['xxtsart nao gostei xxend'],bom xxend
25851,['xxtsart decepcionável xxend'],não gostei do produto xxend
1016,['xxtsart achei estranho xxend'],gostei xxend
24253,['xxtsart ruim xxend'],nao gostei xxend
22823,['xxtsart amei xxend'],produto maravilhoso xxend
24276,['xxtsart demora na entrega e ficou faltando material xxend'],bom produto xxend
23247,['xxtsart paguei por um produto e me entregarão outro xxend'],nao recebi xxend
24300,['xxtsart quais as dimençoes do produto???? xxend'],não gostei xxend
8529,['xxtsart gostei do produto xxend'],bom produto xxend
17262,['xxtsart excelente xxend'],produto de qualidade xxend
9268,['xxtsart perfeito xxend'],muito bom xxend
21271,"['xxtsart pessima qualidade, quebrou o suporte quando levei para pesar as malas, rodas se gastaram na segunda caminhada até o carro xxend']",produto falsificado xxend
12185,['xxtsart péssimo produto xxend'],não gostei xxend
21243,['xxtsart hiper satisfeita com o produto! xxend'],gostei muito do produto xxend
6331,['xxtsart equipamento errado xxend'],produto com defeito xxend
8571,['xxtsart melhor compra do ano xxend'],gostei muito do produto xxend
25068,['xxtsart produto de alta resistencia xxend'],muito bom xxend
7208,['xxtsart um bom produto! xxend'],produto com defeito xxend
5276,['xxtsart veio todo quebrado por dentro xxend'],produto com defeito xxend
18446,['xxtsart produto ainda não entregue xxend'],produto não entregue xxend
16448,['xxtsart maravilhoso xxend'],muito bom xxend
16216,['xxtsart comprei lebre e recebi gato xxend'],não gostei xxend
8006,['xxtsart produto chegou super atrasado e quebrado. e a qualidade ruim. xxend'],produto não chegou xxend
2568,['xxtsart compra cancelada xxend'],não recebi o produto xxend
21847,['xxtsart bom produto conforme presenteado. xxend'],muito bom xxend
2027,['xxtsart não recebi até hoje xxend'],não recebi o produto xxend
2695,['xxtsart gostei do produto xxend'],bom produto xxend
26071,"['xxtsart gostei muito, entrega super rápida! xxend']",excelente produto xxend
15422,['xxtsart muito satisfeita !!! xxend'],amei xxend
5258,['xxtsart gostei do produto xxend'],gostei muito do produto xxend
22002,['xxtsart muito bom o produto xxend'],muito bom xxend
6736,['xxtsart ótimo xxend'],muito bom xxend
391,"['xxtsart prática, bonita e resistente xxend']",melhor custo benefício xxend
13986,['xxtsart tenho o produto funciona muito bem xxend'],muito bom xxend
12666,['xxtsart maravilhoso xxend'],gostei muito do produto xxend
5892,['xxtsart album preto pvc para 200 moedas bolsas 40x40mm com aba -2arg xxend'],gostei do produto xxend
3561,['xxtsart bom... xxend'],excelente xxend
6184,['xxtsart niver marido xxend'],gostei muito do produto xxend
19483,['xxtsart maravilhoso. xxend'],excelente xxend
22662,['xxtsart bom xxend'],muito bom xxend
8392,['xxtsart não gostei desse produto xxend'],muito bom xxend
13067,['xxtsart mesa xxend'],não recebi o produto xxend
15265,['xxtsart ótimo xxend'],muito bom xxend
19488,['xxtsart muito bom xxend'],excelente xxend
23599,['xxtsart panela muito boa!!! xxend'],muito bom xxend
2454,['xxtsart produto muito bom xxend'],Ótimo produto xxend
11837,['xxtsart ótimo a qualidade xxend'],gostei muito do produto xxend
14039,['xxtsart regular xxend'],produto errado xxend
25380,['xxtsart adorei xxend'],muito bom xxend
19115,['xxtsart ótimo produto xxend'],gostei do produto xxend
10965,"['xxtsart quando receber poderei fazer a avaliação,  seu pedido foi preparado para envio 13/12/2017 17:00 e ainda não recebi.... xxend']",entrega atrasada xxend
24538,['xxtsart produto inferior xxend'],produto de baixa qualidade xxend
9762,['xxtsart excelente! xxend'],excelente xxend
5056,['xxtsart não alisa xxend'],não gostei xxend
14948,['xxtsart excelente produto xxend'],gostei muito do produto xxend
8110,['xxtsart produto atendeu minhas necessidades. xxend'],gostei muito do produto xxend
13773,['xxtsart excelente desempenho xxend'],excelente produto xxend
20224,['xxtsart compra nas americanas xxend'],produto de boa qualidade xxend
17412,['xxtsart muito excelente xxend'],muito bom xxend
23769,['xxtsart geladeira brastemp xxend'],muito bom xxend
502,['xxtsart eu compro novamente. xxend'],gostei do produto xxend
6910,['xxtsart muito bom! xxend'],gostei muito do produto xxend
12685,['xxtsart comprei para meu filho... ele gostou muito xxend'],gostei do produto xxend
25446,['xxtsart show!!! xxend'],excelente xxend
23322,['xxtsart propaganda enganosa xxend'],péssimo produto xxend
20872,['xxtsart ok xxend'],produto muito bom xxend
206,['xxtsart gostei demais do produto xxend'],excelente produto xxend
21518,['xxtsart gostei muito do produto! xxend'],produto muito bom xxend
22361,['xxtsart livro ótimo xxend'],muito bom xxend
24105,['xxtsart adorei. muito boa xxend'],gostei do produto xxend
23419,['xxtsart moderna e super útil xxend'],excelente xxend
17868,['xxtsart entrega xxend'],não gostei xxend
24242,['xxtsart tv xxend'],excelente produto xxend
15934,['xxtsart foi um presente xxend'],gostei xxend
17247,['xxtsart uma maravilha! xxend'],muito bom xxend
19174,['xxtsart excelente produto xxend'],produto ótimo xxend
23792,['xxtsart mutio bom xxend'],produto de qualidade xxend
8755,['xxtsart ótimo xxend'],amei xxend
21500,['xxtsart produto ok xxend'],gostei do produto xxend
12383,['xxtsart adorei o produto xxend'],adorei xxend
22403,['xxtsart cabide gancho de porta xxend'],gostei xxend
18141,['xxtsart produto falsificado xxend'],produto nÃo entregue xxend
14820,['xxtsart avaliação xxend'],produto de péssima qualidade xxend
7574,['xxtsart ficou bom xxend'],nao gostei xxend
6374,['xxtsart gostei xxend'],gostei xxend
23276,['xxtsart recomendo esse produto xxend'],amei xxend
1678,['xxtsart excelente - superou as expectativas xxend'],muito bom xxend
19626,['xxtsart gostei do produto xxend'],excelente produto xxend
21020,['xxtsart bom produto (com ressalvas) xxend'],bom produto xxend
1059,['xxtsart promoção xxend'],não gostei xxend
23052,"['xxtsart fácil de montar, bonito e bem dividido xxend']",gostei do produto xxend
16198,['xxtsart ótimo! xxend'],produto muito bom xxend
9914,['xxtsart o produto esta com defeito xxend'],produto com defeito xxend
19541,['xxtsart muito bom xxend'],muito bom xxend
22299,['xxtsart ótima xxend'],produto muito bom xxend
10817,['xxtsart bom produto xxend'],gostei xxend
10921,['xxtsart defeito e quebrado xxend'],veio com defeito xxend
9789,['xxtsart adorei o produto para recolher principalmente cabelos. xxend'],otimo xxend
16312,['xxtsart simples e funcional xxend'],produto bom xxend
11252,['xxtsart não recebi ainda xxend'],não recebi o produto xxend
2693,['xxtsart muito bom xxend'],muito bom xxend
13931,['xxtsart boneca xxend'],excelente xxend
3627,['xxtsart excelente produto xxend'],excelente produto xxend
25939,['xxtsart adorei! xxend'],produto de qualidade xxend
16157,['xxtsart achei o produto de ótima qualidade xxend'],gostei muito do produto xxend
10173,['xxtsart amei o produto xxend'],excelente xxend
21834,['xxtsart muito bom xxend'],gostei muito do produto xxend
18047,['xxtsart não segura o vácuo xxend'],produto muito bom xxend
26105,['xxtsart aprovado xxend'],muito bom xxend
10230,['xxtsart ótimo produto xxend'],Ótimo produto xxend
15707,['xxtsart lixeira dupla aço inox 32l xxend'],excelente xxend
21976,['xxtsart gostei muito xxend'],Ótimo produto xxend
11494,['xxtsart gostei do produto xxend'],gostei do produto xxend
23776,['xxtsart aconselho a compra xxend'],produto chegou com defeito xxend
1306,['xxtsart 1 mês de uso e já tá indo para a assistência xxend'],não gostei xxend
6776,['xxtsart defeito de impressão xxend'],nao gostei xxend
22248,['xxtsart foto com 4 latas xxend'],excelente produto xxend
9474,['xxtsart não recebi o produto xxend'],não recebi o produto xxend
7526,['xxtsart pessima qualidade xxend'],produto de baixa qualidade xxend
25285,['xxtsart jogo fifa 18 xxend'],excelente xxend
21959,['xxtsart manutenção não atendida xxend'],não gostei xxend
5530,['xxtsart gostei muito do produto xxend'],bom produto xxend
20797,['xxtsart informação xxend'],frete xxend
3748,['xxtsart pokemon moon xxend'],gostei xxend
13545,['xxtsart original xxend'],Ótimo produto xxend
663,['xxtsart produto bom xxend'],frete xxend
1998,['xxtsart 0 para a entrega. xxend'],não recebi o produto xxend
7994,['xxtsart tampa xxend'],gostei xxend
17879,['xxtsart gostei muito do produto xxend'],bom produto xxend
3304,['xxtsart entregaram errado e não estou conseguindo corrigir xxend'],produto errado xxend
20147,"['xxtsart preço bom, longa durabilidade xxend']",bom xxend
21616,['xxtsart gostei do produto e da rapidez na entrega. xxend'],gostei muito do produto xxend
18237,['xxtsart ok xxend'],ok xxend
13808,['xxtsart péssimo atendimento xxend'],produto com defeito xxend
6585,['xxtsart falta de informação xxend'],propaganda enganosa xxend
17675,"['xxtsart gostei do produto,ainda nao comprei. xxend']",gostei xxend
19965,['xxtsart regular xxend'],não é original xxend
11649,['xxtsart galera não comprem é fraude xxend'],não comprem xxend
23938,['xxtsart fraco xxend'],não gostei xxend
23664,['xxtsart ferramenta indescritível! simplesmente fantástica! xxend'],marreta do thor xxend
1636,['xxtsart eu amei o produto xxend'],excelente xxend
20080,['xxtsart garante uma bela jogatina xxend'],muito bom xxend
17082,['xxtsart gostei atende munha necessidade xxend'],gostei do produto xxend
4737,['xxtsart ótimo produto. qualidade da imagem superior. xxend'],Ótimo produto xxend
14555,['xxtsart 5 estrelas xxend'],gostei muito do produto xxend
13877,['xxtsart excelente xxend'],produto muito bom xxend
854,['xxtsart excelente produto. xxend'],muito bom xxend
24548,['xxtsart não recebi xxend'],não gostei xxend
5855,['xxtsart produto ruim xxend'],péssima qualidade xxend
7392,['xxtsart ótimo produto xxend'],muito bom xxend
22912,['xxtsart super recomendo xxend'],muito bom xxend
13949,['xxtsart avaliação do produto xxend'],excelente xxend
21633,['xxtsart excelente aparelho xxend'],Ótimo produto xxend
21556,['xxtsart bom aparelho xxend'],gostei muito do produto xxend
18091,['xxtsart impressora epson xxend'],excelente xxend
5791,['xxtsart muito bom! xxend'],produto de qualidade xxend
26309,['xxtsart multifuncional hp xxend'],excelente produto xxend
21919,"['xxtsart bom, nem tanto. xxend']",gostei xxend
4931,['xxtsart bom xxend'],não gostei do produto xxend
19894,['xxtsart meu gato ama demais xxend'],excelente xxend
202,['xxtsart game naruto shippuden xxend'],muito bom xxend
11447,['xxtsart excelente xxend'],excelente produto xxend
20602,['xxtsart sonho de consumo e muito lindo xxend'],o produto é lindo xxend
12688,['xxtsart nao tive sorte xxend'],nao comprem xxend
25342,['xxtsart não funciona direito xxend'],péssimo xxend
4389,['xxtsart não é o que eu esperava. xxend'],excelente xxend
2327,['xxtsart péssimo xxend'],produto ruim xxend
8004,['xxtsart game fifa 18 - xbox 360 xxend'],gostei muito do produto xxend
19315,['xxtsart ótimo produto xxend'],gostei muito do produto xxend
7777,['xxtsart bbommmmmmmmmmmmmmmmmmmmmmmmmbbbbbobbbooo xxend'],gostei xxend
197,['xxtsart bom xxend'],muito bom xxend
23509,['xxtsart esperava mais do produto. xxend'],não gostei do produto xxend
1930,"['xxtsart bom, mas... xxend']",bom produto xxend
11774,['xxtsart gostei do produto xxend'],excelente xxend
15087,['xxtsart gostei muito do produto!!!!!!!!!!!!!!!!!! xxend'],gostei muito do produto xxend
22671,['xxtsart ótimo produto xxend'],lindo xxend
25184,['xxtsart excelente xxend'],muito bom xxend
9339,['xxtsart carrega muito rápido o celular!! xxend'],não gostei xxend
20666,['xxtsart adorei o produto! xxend'],gostei muito do produto xxend
11589,['xxtsart gostei do produto. xxend'],gostei xxend
18895,['xxtsart avaliação - americanas. com xxend'],excelente produto xxend
15708,['xxtsart gostei muito do produto!!! xxend'],gostei do produto xxend
26370,"['xxtsart produto falsificado, danos morais, constrangimento xxend']",produto errado xxend
17043,['xxtsart gostei xxend'],Ótimo produto xxend
2811,['xxtsart o tamanho da pelicula é totalmente desalinhada xxend'],não gostei do produto xxend
23482,"['xxtsart smart tv led 49"" philco xxend']",muito bom xxend
14243,['xxtsart porcaria xxend'],não comprem xxend
6546,['xxtsart nao recebi o.produto xxend'],não recebi o produto xxend
25945,['xxtsart valeu a compra xxend'],excelente xxend
1986,['xxtsart excelente custo benefício. xxend'],excelente xxend
8338,['xxtsart melhor não há! xxend'],melhor custo x benefício xxend
11411,['xxtsart o melhor roteador custo benefício xxend'],muito bom xxend
2911,['xxtsart gostei do produto xxend'],produto de baixa qualidade xxend
1734,['xxtsart ótimo produto! xxend'],muito bom xxend
18227,['xxtsart não recebi o produto xxend'],não recebi o produto xxend
8680,['xxtsart não recebi! xxend'],não gostei xxend
19360,['xxtsart muito útil xxend'],linda e linda xxend
18343,['xxtsart duvida xxend'],bom xxend
5759,['xxtsart ótimo  produto xxend'],gostei muito do produto xxend
23078,['xxtsart nostalgia e tecnologia xxend'],muito bom xxend
2385,['xxtsart ótimo xxend'],Ótimo custo benefício xxend
11111,['xxtsart e maravilho esse produto xxend'],muito bom xxend
4736,"['xxtsart bom, mas sem frame de fixação xxend']",gostei xxend
1802,['xxtsart não recebi xxend'],não recebi o produto xxend
8155,['xxtsart péssimo atendimento xxend'],não recebi o produto xxend
8120,['xxtsart gostei muito deste produto xxend'],gostei muito do produto xxend
6616,['xxtsart o atendimento da americana e péssimo. tem 15 dias que estou aguardando a confirmação do pagamento desse produto e não tenho retorno. xxend'],produto nÃo entregue xxend
14257,['xxtsart produto otimo xxend'],muito bom xxend
14486,['xxtsart não ilumina 12w xxend'],bom xxend
21918,['xxtsart gostei muito xxend'],muito bom xxend
20445,['xxtsart meu produto ainda não foi entregue. prazo máximo 10/04/18 xxend'],não recebi o produto xxend
16646,['xxtsart ar condicionado split 9000 btus xxend'],gostei muito do produto xxend
14075,['xxtsart avaliação do aspirador de pó vertical da philco. xxend'],produto de qualidade xxend
22671,['xxtsart ótimo produto xxend'],lindo xxend
25199,['xxtsart armário bom bem dividido só que as prateleiras são um pouco recuadas. xxend'],produto com defeito xxend
9208,['xxtsart amei! xxend'],gostei muito do produto xxend
16371,['xxtsart panelas simples e utensílios ruins... xxend'],produto não entregue xxend
11835,['xxtsart otimo xxend'],excelente xxend
13168,"['xxtsart gostei muito, diferenciada e forte. xxend']",muito bom xxend
2049,['xxtsart anúncio x descrição xxend'],informações xxend
5423,['xxtsart decepcionado xxend'],não gostei do produto xxend
14589,['xxtsart exelente lanterna xxend'],gostei muito do produto xxend
20932,['xxtsart mancha muito! xxend'],não gostei xxend
19492,['xxtsart sensacional !!! xxend'],gostei muito do produto xxend
7158,['xxtsart produto conforme o esperado xxend'],produto de qualidade xxend
10248,['xxtsart ok xxend'],produto muito bom xxend
7400,['xxtsart ofertam e não entregam xxend'],não recebi o produto xxend
19554,['xxtsart bom produto xxend'],gostei do produto xxend
9874,['xxtsart muito bom xxend'],produto de qualidade xxend
15151,['xxtsart ótimo xxend'],excelente xxend
18639,['xxtsart sensacional xxend'],adorei xxend
1154,['xxtsart adoro os produtos ecolumi xxend'],duvida xxend
4499,['xxtsart ótimo custo benefício xxend'],Ótimo produto xxend
6295,['xxtsart conforme anúncio xxend'],gostei muito do produto xxend
22581,['xxtsart não gostei xxend'],não gostei xxend
26272,['xxtsart nem pude testar xxend'],recebi o produto errado xxend
12183,['xxtsart produto com defeito xxend'],produto com defeito xxend
12874,['xxtsart marreta de ouro xxend'],melhor custobenefício xxend
18032,['xxtsart não gostei do produto!!! xxend'],ruim xxend
5539,['xxtsart otimo xxend'],bom produto xxend
9637,['xxtsart recomendo xxend'],produto de qualidade xxend
20583,['xxtsart loja sem compromisso com os clientes xxend'],não recebi o produto xxend
24829,"['xxtsart bom desempenho, ótimo produto xxend']",muito bom xxend
15586,['xxtsart produto ótimo! recomendo xxend'],Ótimo xxend
2557,['xxtsart pessimo produto xxend'],muito bom xxend
5592,"['xxtsart criado muito bonito, porém o mdp é muito fraco ! xxend']",produto de baixa qualidade xxend
16482,['xxtsart não recebi da loja ate agora a mais de um mês de compra.. xxend'],não gostei xxend
2200,['xxtsart péssima qualidade xxend'],péssimo xxend
14172,['xxtsart não recebi o produto xxend'],não recebi o produto xxend
2961,['xxtsart onde está o meu produto xxend'],não recebi o produto xxend
14207,['xxtsart bom xxend'],bom produto xxend
21357,['xxtsart excelente xxend'],Ótimo produto xxend
20817,['xxtsart dá para o gasto xxend'],bom produto xxend
11969,['xxtsart muito linda apaixonada xxend'],amei o produto xxend
2869,['xxtsart amei! xxend'],produto de boa qualidade xxend
17340,['xxtsart excelente! xxend'],amei xxend
13992,['xxtsart gostei ! xxend'],não gostei do produto xxend
24736,['xxtsart enganação xxend'],não é original xxend
5699,"['xxtsart r$ 285,00?! xxend']",bom produto xxend
23328,['xxtsart como na descrição xxend'],bom produto xxend
20877,['xxtsart tive problemas! xxend'],não gostei xxend
25876,['xxtsart minha filha gostou xxend'],bom produto xxend
21295,['xxtsart album  sem figurinhas. xxend'],propaganda enganosa xxend
3987,['xxtsart faltando item xxend'],não gostei xxend
26103,['xxtsart muito bom!!! xxend'],muito bom xxend
22399,['xxtsart não tem nada a ver com o produto anunciado. xxend'],produto com defeito xxend
13446,['xxtsart opinião sobre o produto xxend'],gostei muito do produto xxend
1218,['xxtsart ótimo produto. xxend'],Ótimo produto xxend
20880,['xxtsart péssimo xxend'],não gostei xxend
4735,"['xxtsart não é possível avaliar um produto que não recebi ""ainda"" xxend']",não recebi o produto xxend
11296,['xxtsart muito bonito e colorido xxend'],excelente xxend
4555,['xxtsart cavalinho de brinquedo balanço de pelúcia xxend'],produto muito bom xxend
9146,['xxtsart avaliar oque ainda nem recebi? xxend'],não recebi o produto xxend
8050,['xxtsart gostei muito ! xxend'],excelente xxend
12757,['xxtsart não chegou ainda xxend'],não chegou xxend
19830,['xxtsart muito bom o jogo! xxend'],muito bom xxend
17429,['xxtsart perfeito xxend'],gostei do produto xxend
6893,['xxtsart muito bom xxend'],excelente produto xxend
18077,['xxtsart otimo xxend'],amei xxend
14373,['xxtsart péssimo!! xxend'],enviaram o produto errado xxend
14565,['xxtsart atingiu minhas expectativas xxend'],livro maravilhoso xxend
3436,['xxtsart péssimo. xxend'],produto com defeito xxend
8754,['xxtsart ótimo produto xxend'],Ótimo xxend
10677,['xxtsart satisfeita com a compra xxend'],gostei muito do produto xxend
5895,"['xxtsart não recebi o produto ate agora, como vou saber se é bom ou ruim? xxend']",nao recebi o produto xxend
19738,"['xxtsart lindo, entregou no prazo. excelente compra xxend']",excelente xxend
16609,['xxtsart não gostei. xxend'],não recebi o produto xxend
15636,"['xxtsart amei, é linda , cozinha rápido, fácil de lavar, to mto satisfeita e a entrega bem antes do combinado. parabéns lojas americanas !!! xxend']",muito bom xxend
21277,['xxtsart nao recebi o produto xxend'],não recebi o produto xxend
7022,['xxtsart amei o produto! xxend'],amei xxend
9151,['xxtsart produto maravilhoso xxend'],gostei muito do produto xxend
5600,['xxtsart excelente perfume xxend'],Ótimo produto xxend
7996,['xxtsart ótimo tapete higienico xxend'],não gostei xxend
9007,['xxtsart produto excelente xxend'],muito bom xxend
12946,['xxtsart produto de ótima qualidade xxend'],produto de qualidade xxend
24067,"['xxtsart produto de 1ª linha, gostei muito xxend']",gostei do produto xxend
4642,['xxtsart otimo celular e custo beneficio xxend'],muito bom xxend
11312,['xxtsart decepicionado xxend'],muito ruim xxend
7679,['xxtsart muito boa xxend'],gostei do produto xxend
8208,['xxtsart poderia ser mais completo xxend'],frete xxend
23723,['xxtsart entrega rápida xxend'],gostei muito do produto xxend
25819,['xxtsart gostei do produto xxend'],gostei do produto xxend
18589,['xxtsart amei xxend'],muito bom xxend
10716,['xxtsart não recebi o produto após 30 dias xxend'],não recebi o produto xxend
17453,['xxtsart produto excelente!!! xxend'],produto de qualidade xxend
3444,['xxtsart produto veio mofado xxend'],não gostei xxend
10757,['xxtsart excelente cafeteira xxend'],gostei do produto xxend
14434,['xxtsart não foi entregue - socorro! xxend'],não recebi o produto xxend
1060,['xxtsart uma tv linda e de qualidade... xxend'],gostei muito do produto xxend
18711,['xxtsart elogio xxend'],gostei do produto xxend
3420,['xxtsart ótimo xxend'],muito bom xxend
301,['xxtsart protudo excelente xxend'],gostei do produto xxend
12468,['xxtsart produto ótimo xxend'],muito bom xxend
16990,['xxtsart produto quebrado xxend'],produto com defeito xxend
19554,['xxtsart bom produto xxend'],gostei do produto xxend
699,['xxtsart melhor custo benefício xxend'],gostei muito do produto xxend
21472,['xxtsart gostei do produto xxend'],gostei muito do produto xxend
25715,['xxtsart não veio a cor que eu quero xxend'],produto errado xxend
190,"['xxtsart muito bom, atende perfeitamente ao que propõe. xxend']",melhor custo benefício xxend
10492,['xxtsart produto não enteegue xxend'],não recebi o produto xxend
17364,['xxtsart excelente atendimento. xxend'],produto errado xxend
2975,['xxtsart entrega rápida e produto de qualidade xxend'],muito bom xxend
6102,['xxtsart ótimo produto xxend'],gostei do produto xxend
17568,['xxtsart muito bom o produto xxend'],gostei muito do produto xxend
19711,['xxtsart pessimo xxend'],não gostei xxend
19778,['xxtsart não compre xxend'],não gostei xxend
24703,['xxtsart meu neto gostou muito do produto xxend'],gostei muito do produto xxend
1816,['xxtsart ótimo xxend'],excelente xxend
22238,['xxtsart muito bom! xxend'],Ótimo produto xxend
23093,['xxtsart aprovado xxend'],gostei muito do produto xxend
569,['xxtsart produto chegou com a caixa quebrada xxend'],ainda nao recebi xxend
5442,['xxtsart produto bom xxend'],gostei muito do produto xxend
1895,['xxtsart produto não entregue xxend'],não recebi o produto xxend
19117,"['xxtsart excelente, gostei demais xxend']",excelente xxend
3863,['xxtsart frete xxend'],não gostei do produto xxend
12913,['xxtsart o produto não foi entregue ainda. xxend'],gostei do produto xxend
7455,['xxtsart minha opinião xxend'],excelente xxend
4014,['xxtsart gostei muito do produto xxend'],gostei muito do produto xxend
11093,['xxtsart otimo produto xxend'],produto de qualidade xxend
18070,['xxtsart ótimo xxend'],gostei muito do produto xxend
3009,['xxtsart funcionou bem xxend'],produto de boa qualidade xxend
24190,['xxtsart bom custo benefício xxend'],Ótimo produto xxend
16538,['xxtsart cumpre o que promete xxend'],muito bom xxend
10729,['xxtsart loja não faz entrega xxend'],não gostei xxend
1409,['xxtsart chegou com defeito. xxend'],não gostei xxend
12249,['xxtsart excelente xxend'],muito bom xxend
784,['xxtsart fraco xxend'],produto de baixa qualidade xxend
8096,['xxtsart ótimo produto xxend'],Ótimo produto xxend
7560,['xxtsart bloqueado xxend'],não gostei xxend
12533,['xxtsart produto funcionando muito bem xxend'],gostei muito do produto xxend
7343,['xxtsart recomendo xxend'],não gostei xxend
7206,['xxtsart produto de qualidade péssima xxend'],não recebi o produto xxend
